 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Período:Jan/2021-Mar/2023
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"Total"
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;-;-;-;-;163219,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13419,34;-;20129,02;-;39264,01;-;-;-;-;-;-;-;-;-;-;22614,08;-;78528,02;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11381,59;-;-;13568,45;-;-;-;78528,02;-;-;-;13568,45;1938,35;-;13568,45;-;-;-;-;-;-;39264,01;-;39264,01;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42518,23;-;-;-;-;21135,91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;226220,28;-;58586,10;19780,10;113573,58;331521,96;1732203,18;5832459,23;21387947,94;27456730,91;28422282,51;37159266,52;38469161,11;42367409,69;36468622,90;28725523,88;26530005,97;24717293,86;26217289,16;25267716,23;24841298,77;25817265,74;24985028,54;28634900,09;26551972,92;29488549,63;27005136,19;27241034,36;30284426,61;28642730,99;26614170,32;24313673,74;21317033,74;21416204,86;16393895,68;9811902,56;765474728,79
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6312,06;-;-;-;-;-;-;-;-;5218,63;9244,42;562,28;4622,21;-;-;4622,21;30696,46;71714,94;277807,13;1184674,24;3994799,13;11760904,68;21745605,46;23356267,63;32204728,72;30949628,74;39938584,26;33793213,74;27730261,49;25195569,84;24176565,22;25000304,30;23285867,40;22239232,85;25357115,95;24623236,39;23988036,95;22011210,01;25692146,79;22791561,63;21903381,54;23728430,67;22835340,80;23788158,87;23487367,23;22234612,86;21787592,96;16229563,36;10332767,16;677757531,21
"26 Pernambuco";34442,98;-;-;-;8995,93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;544452,51;-;-;8995,93;182124,78;-;-;-;-;8995,93;-;8995,93;-;19393,39;-;13270,23;-;-;-;9060,42;-;-;7604,30;-;74329,65;-;-;-;-;-;-;-;-;10587,46;-;-;8995,93;-;11656,39;17991,86;-;135322,75;-;-;-;-;-;-;10943,77;-;14667,56;-;-;-;21683,94;-;-;-;-;54505,40;-;-;-;-;-;-;6464,45;22533,33;-;-;-;1713,50;73661,94;-;-;-;54543,35;-;-;-;30591,67;33310,44;814,42;56202,80;25857,85;56202,80;-;-;11656,39;-;-;17968,15;212825,90;163516,20;-;-;-;-;-;-;-;-;-;-;-;56134,26;-;-;-;-;93058,00;-;56910,60;15455,31;8195,10;-;26468,66;29471,84;56202,80;-;-;9288,05;61606,75;18649,96;261306,64;42316,38;352797,57;1108298,59;1847678,59;4187400,11;14093396,59;44544767,45;83167702,10;81916340,52;105907443,59;118438342,12;133084906,83;121597906,50;96036623,68;86713319,35;83639490,70;84196753,29;84043890,28;85194966,23;96260287,19;80420004,95;78584802,28;74016121,95;81950141,17;76239821,28;79224942,04;83708579,09;76187201,16;79978736,99;75807379,29;74369824,54;75258856,16;60715732,55;40379196,15;2365883595,46
"27 Alagoas";169552,15;-;-;-;-;41739,05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48299,61;-;-;-;-;36292,61;-;-;-;-;-;-;-;-;-;-;-;-;-;40212,01;-;-;-;-;41739,05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41739,05;-;-;-;-;-;-;-;-;-;108115,61;-;29694,34;-;-;-;-;8093,30;67567,73;-;-;22040,25;-;1425,23;23671,12;34934,92;23764,85;19401,43;-;15215,20;157135,68;262272,60;848866,28;2251378,89;6224980,01;12480976,37;20166546,25;21708857,76;31011996,73;29611820,55;31131552,48;29063889,69;24334411,52;19058796,91;17960909,79;17360483,28;17239462,03;15902764,98;16106112,92;15986817,79;17788386,89;16410521,43;18404718,16;17271086,53;17711716,02;18609701,65;18234477,23;18458791,81;17515782,48;16509480,82;14580715,73;10446702,57;7446856,95;539032468,29
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64711,06;-;-;40755,05;-;-;-;-;-;-;-;994,02;40755,05;-;34095,08;27981,82;63912,21;79969,36;12537,52;33448,96;7952,20;446420,89;527165,84;1475651,34;4931582,23;8145421,99;9812092,50;12767264,10;11773621,25;18788725,76;19185713,22;20362626,06;16893768,88;13382069,68;12149849,56;11687403,37;11043744,62;11191124,49;11675082,33;12514381,83;11919046,55;13700977,32;12447938,02;14389748,70;12621276,12;13958818,16;14230736,52;12969846,70;13625159,91;12976340,45;12874200,62;9263939,65;4527895,13;2700568,57;371367314,69
"29 Bahia";2290220,25;-;58240,68;-;57931,84;-;-;-;-;-;-;-;-;-;-;33182,97;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57938,13;-;-;-;-;-;170159,23;-;-;-;-;-;-;1906,66;-;-;-;-;-;-;-;410046,33;1089822,36;37549,17;-;-;-;-;-;-;168958,38;-;-;-;-;78980,72;-;-;74441,88;-;48236,68;-;-;71651,35;-;67279,39;-;173989,61;87945,34;-;-;-;-;-;-;-;-;-;-;70213,46;-;57900,19;4451,54;-;-;125244,25;-;83914,75;-;-;-;137989,37;-;-;34195,07;22074,94;-;-;57962,34;58091,25;4448,88;1906,66;-;13684,30;8304,58;-;-;-;39453,20;-;-;-;-;65818,58;15973,61;67734,46;1181,42;79297,12;41474,75;67899,94;-;73485,69;22629,72;15891,71;255432,39;-;153448,23;19310,34;38405,26;139310,77;8673,23;386587,70;389300,90;787916,80;1006532,75;3514944,05;13445243,78;31157241,61;59351765,66;88218581,81;96944656,30;117956257,81;116614689,27;135762398,33;124903590,31;111012233,57;97197753,84;87549068,70;89363446,55;88939936,68;90762810,08;100084761,83;86337717,32;88402815,46;81969336,73;89738706,31;82593902,86;89343752,98;93253848,86;90177988,05;90760712,14;85162890,08;80062885,69;75021255,96;52872742,58;33324212,34;2581136768,66
"31 Minas Gerais";767359,42;-;-;-;-;17395,45;19744,57;-;34743,67;-;-;-;-;-;27455,97;-;-;-;-;19734,00;-;-;-;-;-;-;-;1016,89;34743,67;-;12474,28;-;-;-;-;-;136095,79;57939,80;62299,40;-;-;-;-;-;-;-;-;22413,90;99773,60;-;29574,49;-;22202,05;34828,41;-;22413,90;-;-;-;-;41933,98;55711,29;65343,47;-;-;48683,51;27508,00;45970,66;1016,89;25549,31;-;-;-;-;74838,27;42610,16;-;-;-;98433,69;9575,69;38936,62;-;34743,67;-;110989,49;-;30379,53;-;-;-;-;-;-;22595,20;35845,30;-;57948,60;8548,61;-;57900,20;57900,20;57900,20;50505,44;62207,41;13081,25;-;-;2895,01;17942,16;253925,75;34743,67;32413,29;42031,37;19659,83;5902,97;34574,19;74726,39;-;40136,05;34743,67;55339,46;34741,20;57900,20;8442,75;34743,67;171258,77;192815,17;263334,49;31217,45;-;73556,94;166173,26;96038,67;64794,64;15318,65;97722,54;82218,39;82637,32;251892,06;70749,95;100781,30;54129,30;85714,33;67341,15;34743,67;311123,75;138743,57;27135,51;187394,67;325353,26;2283566,26;8735478,65;28676720,31;58797952,09;120795919,25;194971335,57;185852830,42;265389639,81;259678275,72;282421559,33;269235875,99;246433255,67;217133800,09;191018448,54;181907731,27;177029670,06;176607429,56;205683598,39;182718969,62;192939121,92;181757777,89;197588102,71;185072283,78;191786147,58;201294637,75;194824682,53;197994120,88;192960986,66;183700123,34;166651192,83;126589217,14;79464439,41;5554370807,36
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4340,63;-;-;-;-;-;-;-;-;-;-;-;57391,44;694445,92;5294956,79;13834676,95;32717175,26;40695142,35;40032763,33;59344964,49;58289093,33;58537795,44;50150950,14;44731923,37;39200917,40;39085981,55;39645195,76;35252184,64;37232756,42;40159258,51;33352239,41;34579777,72;31944146,40;36010031,85;35480215,52;36335019,11;37438433,88;36099352,22;38688759,68;35661937,73;34755606,51;31830094,52;25050097,29;16620958,28;1098808583,84
"33 Rio de Janeiro";2146161,57;-;31645,42;22763,18;-;31645,42;5715,64;5815,04;-;-;-;27498,49;5715,64;22763,18;-;11679,79;22267,57;4771,31;-;29428,07;24621,68;11928,30;45526,36;-;-;5964,15;5964,15;22763,18;45079,05;-;3473,28;-;-;3473,28;80235,31;-;-;82887,42;59032,21;5715,64;28094,96;-;22267,57;24621,68;28727,33;5964,15;31645,42;-;204808,13;-;89157,83;69812,08;39549,98;45526,36;124219,28;84511,27;163141,18;67929,21;134660,04;109350,36;1145758,20;137252,95;242686,58;196947,30;236520,54;240705,25;70225,05;116063,31;102877,79;125384,39;36104,25;198898,89;126021,12;98643,30;420925,70;110580,63;22918,47;303193,09;-;-;147906,09;136808,63;60192,65;83462,27;192692,47;236107,96;93219,40;22763,18;237296,37;174300,48;331574,67;87091,51;109164,49;262353,02;103438,72;90248,68;411845,68;110705,31;481763,53;22973,35;49405,37;19087,53;3022293,48;1669840,80;96506,80;348967,82;113400,54;1245239,89;85811,54;767658,54;91863,41;61028,62;418596,45;174376,12;192688,68;569390,18;259473,79;157320,72;216560,29;228621,42;307641,20;65576,38;68497,19;125495,30;407006,12;54177,03;174639,85;375898,09;68604,50;141219,34;252784,71;146843,60;597544,01;1074835,73;241910,72;388567,92;433365,54;815951,80;323964,07;578949,35;559558,98;747316,45;495048,79;562933,10;942569,44;552346,57;517513,21;363715,67;206406,61;673469,57;1458163,53;1452787,59;3105461,29;10046931,50;20096471,18;60254419,70;104531977,57;87921573,95;126151348,75;135469453,72;148191191,22;131621527,09;134922169,80;142339234,49;120421937,54;101547265,98;94635478,59;93148351,54;114025660,00;98279609,21;106722986,46;99744364,71;109391797,73;102175683,39;108970622,58;113701586,15;106872567,99;106146091,09;101613155,17;94755854,68;87430193,09;60274426,13;38290796,58;2999129759,25
"35 São Paulo";50358381,49;447969,08;261963,10;214301,35;231318,36;289501,00;173700,60;401209,30;268636,86;628035,07;1392855,85;4305,10;349288,18;168263,63;181511,71;240030,67;19770,80;121802,25;147445,82;189484,71;424942,77;209774,76;753414,30;110787,09;173206,33;-;314431,47;115800,40;421726,26;417416,17;338857,39;2571925,06;263207,62;1397422,51;507147,92;366749,09;180126,11;229115,50;130346,60;344681,06;79887,25;354260,65;298673,02;509038,71;368426,39;422628,44;329824,78;298954,72;270545,22;247115,16;231600,80;251852,50;175574,12;505756,57;338735,41;268192,42;712609,06;2203782,85;260351,82;370031,33;570124,69;282458,57;275199,30;228869,97;447049,48;359748,64;246610,59;186302,80;235597,33;3605737,00;453241,72;190298,88;980697,08;131950,60;292138,23;206860,74;310809,98;319441,22;428356,48;1199483,19;1522054,87;287314,10;296351,55;354533,74;511734,31;379934,36;292444,46;426299,58;332555,27;825747,57;383078,75;415737,47;547418,88;413182,68;344272,01;362952,88;732426,94;325189,14;490634,74;799353,91;272526,36;460722,17;188044,79;345763,67;305638,71;131172,01;359321,87;348431,47;787270,16;456984,23;411836,40;397581,69;253536,39;405990,58;225678,69;771573,65;201599,91;903037,84;469725,53;665235,65;478273,57;538758,53;144744,34;563046,70;472019,86;555022,17;720450,96;764698,95;289676,77;2433343,76;325780,16;1528790,78;2700697,03;1086695,86;4500266,34;715411,72;464226,65;489493,37;1206883,87;3082999,37;1035820,24;1132776,49;805984,91;1697857,93;3483418,63;1131053,81;1128449,26;768446,01;718817,40;909507,49;2629086,36;4919729,29;11447736,28;30561022,71;74850937,62;206266378,02;363957962,96;355409752,72;508543387,75;511668853,19;557892976,60;521226877,29;448718715,55;393114088,77;349578645,42;334714933,70;321135460,56;321043249,62;361583264,48;311673012,19;341646352,42;320493732,53;350781140,56;332827492,99;347878580,97;366573392,45;354403784,94;357598477,84;341136681,21;325075048,44;327590025,45;252161582,41;169312661,23;10317502997,48
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1491,04;-;-;-;-;-;-;-;-;-;-;-;34743,67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26621,47;-;-;-;-;-;-;-;-;-;-;-;-;-;231445,59;-;-;-;-;-;-;-;16687,44;-;-;-;-;-;-;-;-;-;-;8734,36;16150,34;-;75890,13;-;14172,75;-;-;6262,37;8223,62;406,78;18820,08;173406,16;74869,33;259722,47;1077357,57;1949401,69;8038882,15;23705400,85;47730387,99;90703650,43;130565644,70;134096467,78;172846954,77;175321309,96;199378483,01;187763085,02;165404409,91;173052444,90;152458211,09;139754821,82;126296366,00;120943796,46;130961598,35;122501333,76;139842992,48;134235541,55;140238055,08;135512253,07;139110918,11;148457787,94;137340256,24;140193044,72;136255134,94;124491442,89;117801667,79;93096149,06;59859309,82;3951952209,50
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31170,17;-;-;-;-;15518,87;-;-;19027,82;-;5527,63;-;-;-;-;31435,66;-;-;-;-;-;-;130173,48;31435,66;-;-;62871,32;272823,20;1989497,86;-;-;-;58335,68;-;-;-;-;-;58412,64;-;31435,66;-;-;-;26859,58;-;20270,84;-;86552,72;-;26859,58;-;-;50287,51;25093,62;81125,10;69744,87;45483,36;-;20311,93;-;27705,60;65185,12;62968,52;-;-;58338,06;-;-;103498,22;84443,46;32828,86;27012,96;42846,40;10129,09;14563,86;213506,47;400493,97;2282958,14;11936163,69;34243249,64;62042098,97;75671947,73;83814589,62;98399804,63;97989039,85;111963344,96;109988131,94;98428682,28;91068977,50;82415041,53;82674488,81;76503201,67;70397401,64;76542984,17;71323059,18;74799311,17;73563133,99;81049997,69;77806485,79;77687390,04;85417844,25;79429462,74;81610401,37;76644801,39;71880645,69;69362900,59;50396488,22;27170531,71;2268838335,94
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10636,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6921,57;6671,02;5350,03;7421,40;-;97066,80;5194,98;50922,99;70563,65;-;46536,61;79992,98;144428,33;253147,87;301466,34;783929,54;2421523,30;11514052,52;35850395,36;90807824,12;115690758,83;126801072,09;169551623,30;146374645,16;159337259,11;152850822,58;133216002,73;116716587,82;113660048,24;115236700,21;110555004,18;98908683,35;111813819,89;102509202,15;108007995,97;106464180,69;112272796,61;108733142,86;112149081,04;113421401,67;103466873,35;108803188,45;105468924,90;96594772,43;93462220,48;67398577,83;35579172,57;3187508603,97
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5765,34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1001,51;98953,58;-;13998,33;-;-;200614,42;643482,41;2354274,31;6473946,00;11884309,08;22468338,47;24827630,25;25712103,57;33691720,88;33571763,71;38469819,47;36922179,68;32668174,54;27482367,94;21723516,33;20942007,15;20946424,02;20991280,96;24015222,71;22034729,79;24069491,88;23299532,28;25834610,12;24121956,30;25587738,31;26003065,31;25163167,74;25025000,47;25547083,42;19804014,18;14289853,24;8325210,76;3917726,54;699132075,00
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52,22;-;-;-;-;73954,92;114973,56;338885,94;2581664,68;5218694,38;11540845,46;18890894,49;21546889,46;35841944,30;37953941,92;38977665,54;37647505,73;36194064,24;30924275,63;22124492,82;19118597,36;17974564,36;19008040,56;24579955,79;19546905,90;19784280,60;19485541,33;20278273,05;18488876,47;19499890,65;21266778,66;19232705,03;20225235,81;20091870,38;18195275,11;16921618,65;11629765,48;6148437,86;631447358,34
"52 Goiás";3931907,49;-;-;-;-;119921,82;60967,41;59814,66;62219,60;-;113035,30;-;-;59447,42;-;-;-;59389,13;-;-;-;118284,83;59442,75;120417,16;60291,49;-;39094,43;-;30506,92;-;-;31645,42;5222,62;-;-;-;-;-;59802,13;-;82452,78;-;-;-;7169,44;119854,47;59375,69;-;-;121933,28;-;121848,32;-;182878,67;-;60754,09;-;62335,20;61864,33;119779,10;-;-;61540,07;120378,43;62048,81;-;112233,35;-;-;120648,67;-;-;-;-;-;59513,54;59603,21;-;-;-;108210,19;-;42239,34;241945,31;-;-;120096,07;163833,70;59513,92;122121,41;70479,34;61656,92;70511,22;-;14433,39;181978,97;118496,83;63962,01;95686,25;124784,52;-;23665,14;75244,10;189486,42;122062,45;59325,06;60015,50;29539,88;31645,42;119291,24;181013,03;-;-;59636,97;-;61817,70;121129,89;31601,30;170566,87;308768,09;248918,82;120538,56;64816,71;77496,70;279648,55;186174,19;322685,01;69485,18;130784,93;280843,80;158543,03;182855,29;-;36542,58;58884,11;64774,69;256256,00;119052,87;122830,96;501893,75;254337,40;13835,95;157528,26;58665,59;365794,61;132335,16;121940,41;-;114605,58;20545,51;512864,67;967792,78;5002959,47;6950786,34;9429166,43;23640988,56;44588681,27;47805017,35;74632555,67;69133474,47;70863036,77;72495377,61;73459013,23;65727613,73;51010856,81;40602358,10;42465445,75;39003139,96;45676666,77;39345147,38;43187629,55;41367413,71;42746155,59;38596946,70;40654875,35;44035499,97;41854587,52;42694192,98;41774705,56;39941642,24;39885351,16;30922793,36;19360876,00;1344750607,49
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;184,29;-;50461,98;-;23000,91;9973,51;187079,52;307615,50;647299,83;2639319,18;5462482,69;13055081,02;24484970,09;24156062,77;36431739,62;35658015,18;32462396,39;27578914,82;28285833,47;27501310,97;29489280,41;26556976,57;23930336,22;22017616,97;26682640,34;23893395,14;26630777,45;25733337,37;26355762,44;25996054,10;26142615,55;28157846,89;26701674,05;25697563,10;25511820,67;23980986,22;25848008,26;19873625,36;14162487,39;732304546,24
"Total";59698025,35;447969,08;351849,20;237064,53;298246,13;500202,74;260128,22;466839,00;365600,13;628035,07;1505891,15;31803,59;518222,82;250474,23;208967,68;284893,43;42038,37;185962,69;147445,82;238646,78;490319,50;339987,89;858383,41;231204,25;777950,33;5964,15;359490,05;148576,40;714180,68;417416,17;354804,95;2603570,48;268430,24;1450646,77;587383,23;375745,02;439481,06;447274,24;331609,36;363666,93;229699,00;354260,65;320940,59;712880,04;404323,16;548447,06;428450,19;321368,62;649456,60;369048,44;352239,78;466126,98;237326,15;847518,03;462954,69;435871,68;875750,24;2344634,72;866922,52;1688983,15;1821658,03;527957,06;656425,81;564187,56;745618,83;784460,15;456576,99;517295,15;339492,01;3908233,59;489345,97;389197,77;1244942,30;230593,90;833739,93;506134,06;393331,66;707163,60;450040,42;1354190,80;1859398,19;463059,35;485090,75;915510,96;1100939,96;814977,15;545421,58;685276,04;648053,24;1165583,13;791597,21;722309,79;766756,24;675535,70;484739,32;751267,35;1618815,44;608773,32;1175288,37;1004793,42;538846,60;834198,24;5538076,25;2273190,60;780245,09;630140,44;631549,66;1679414,04;1111180,70;1532044,03;1043011,35;566813,06;837445,15;762699,74;533676,93;1604096,92;1158802,17;1334651,33;903461,69;1249172,67;1243423,03;888268,04;407602,57;823938,90;1251419,35;869570,26;1389034,59;1495703,13;777494,31;3177135,58;980786,96;2048195,12;3716680,88;2587070,48;5044522,99;1282793,34;1568644,12;1688508,33;2106141,33;4517694,01;2090492,53;2521159,41;1611333,69;2760041,70;5145530,42;2138796,54;2605135,34;1915129,38;2081067,20;3113430,70;9383474,11;18766958,02;60042238,47;194486182,99;457935224,78;1030196603,54;1599322812,80;1608311410,91;2227149648,92;2219693871,94;2414818490,37;2242043101,72;1989575661,89;1812109227,15;1626068553,67;1562234336,10;1501686458,81;1476214958,87;1656752138,40;1466454052,86;1579565645,73;1499668958,37;1627882369,86;1535466673,22;1587508900,71;1673953989,07;1590015720,69;1613864687,35;1550083421,58;1455058880,30;1390017310,10;1033326823,95;646006759,75;46170410373,40
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
